Tract,County,Acute.Bronchitis...Bronchiolitis,Alzheimers.Disease,Anemias,Aortic.Aneurysm...Dissection,Appendix.Diseases,Atherosclerosis,Cerebrovascular.Diseases,Cholelithiasis...Other.Gallbladder.Disorders,Chronic.Liver.Disease...Cirrhosis,Chronic.Lower.Respiratory.Disease,Congenital.Malformations,Diabetes.Mellitus,Essen.Hypertension...Hypertensive.Renal.Dis,Female.Pelvic.Organs.Inflammatory.Diseases,Heart.Diseases,Hernia,Homicide,Hyperplasia.of.Prostate,In.Situ..Benign..Uncertain.and.Unknown.Behavior.Neoplasms,Influenza...Pneumonia,Kidney.Infections,Legal.Intervention,Malaria,Malignant.Neoplasm.or.Cancer,Medical...Surgical.Care.Complications,Meningitis,Meningococcal.Infection,Nephritis..Nephrotic.Syndrome..Nephrosis,Nutritional.Deficiencies,Other.Non.rankable.Cause.of.Death,Parkinsons.Disease,Peptic.Ulcer,Perinatal.Period.Conditions,Pneumoconiosis...Chemical.Effects,Pneumonitis.Due.To.Solids...Liquids,Pregnancy..Childbirth.and.the.Puerperium,Salmonella.Infections,Septicemia,Syphilis,Tuberculosis,Unintentional.Injury,Viral.Hepatitis
12005001100,Bay,0,21.81,0,0,0,0,30.53,0,4.36,41.43,6.54,32.71,10.9,0,109.03,0,4.36,0,34.89,10.9,0,0,0,117.75,2.18,0,0,13.08,0,78.5,4.36,0,10.9,0,4.36,0,0,0,0,0,28.35,6.54
12005001200,Bay,0,14.3,0,0,0,0,28.6,2.86,2.86,42.91,2.86,20.02,8.58,0,100.11,0,17.16,0,17.16,14.3,0,0,0,54.35,0,0,0,20.02,2.86,51.49,0,0,0,0,2.86,0,0,8.58,0,0,22.88,8.58
12005001301,Bay,0,21.73,1.81,0,0,0,14.48,0,3.62,21.73,0,25.35,23.54,0,86.91,0,1.81,0,12.67,9.05,0,0,0,54.32,0,0,0,1.81,0,54.32,0,0,1.81,0,0,0,0,3.62,0,0,18.11,1.81
12005001302,Bay,0,15.25,1.39,1.39,0,1.39,13.86,0,6.93,36.04,4.16,22.18,9.7,0,119.21,0,1.39,0,23.57,6.93,0,0,0,99.81,0,0,0,11.09,0,44.36,2.77,0,5.54,0,0,0,0,6.93,0,0,22.18,1.39
12005001402,Bay,0,20.36,2.55,1.27,0,0,19.09,0,3.82,30.55,1.27,17.82,10.18,0,98,0,0,0,19.09,11.45,0,0,0,73.82,1.27,0,0,7.64,0,33.09,3.82,0,0,0,2.55,0,0,7.64,0,0,28,1.27
12005001403,Bay,0,24.32,0,0,0,0,29.18,0,4.86,87.55,0,9.73,4.86,0,136.19,0,0,0,24.32,14.59,0,0,0,72.96,0,0,0,14.59,0,72.96,0,0,0,0,9.73,0,0,14.59,0,0,29.18,0
12005001404,Bay,0,10.84,1.36,1.36,0,1.36,18.98,2.71,6.78,32.53,1.36,13.56,9.49,0,85.4,0,1.36,0,23.04,8.13,0,0,0,79.98,0,0,0,2.71,0,51.51,2.71,0,1.36,0,2.71,0,0,5.42,0,0,21.69,4.07
12005001501,Bay,0,29.73,0,0,0,1.75,26.23,0,3.5,36.73,3.5,20.99,19.24,0,134.66,1.75,1.75,0,7,15.74,0,0,0,54.21,0,0,0,8.74,0,76.95,1.75,0,0,0,7,0,0,5.25,0,0,15.74,3.5
12005001502,Bay,0,59.75,3.32,1.66,0,0,26.56,0,8.3,73.03,1.66,38.17,24.9,0,175.93,0,1.66,0,33.2,13.28,0,0,0,117.84,0,0,0,8.3,3.32,71.37,3.32,0,0,0,6.64,0,0,16.6,0,0,24.9,3.32
12005001600,Bay,0,52.04,2.74,2.74,0,2.74,46.56,0,16.43,73.95,2.74,46.56,27.39,0,183.51,0,13.69,0,41.08,19.17,0,0,0,115.04,0,0,0,27.39,0,112.3,10.96,2.74,8.22,0,8.22,0,0,16.43,0,0,21.91,5.48
