State,Tract,Acute Bronchitis & Bronchiolitis,Alzheimers Disease,Anemias,Aortic Aneurysm & Dissection,Appendix Diseases,Atherosclerosis,Cerebrovascular Diseases,Cholelithiasis & Other Gallbladder Disorders,Chronic Liver Disease & Cirrhosis,Chronic Lower Respiratory Disease,Congenital Malformations,Diabetes Mellitus,Essen Hypertension & Hypertensive Renal Dis,Female Pelvic Organs-Inflammatory Diseases,Heart Diseases,Hernia,Homicide,Hyperplasia of Prostate,"In Situ, Benign, Uncertain and Unknown Behavior Neoplasms",Influenza & Pneumonia,Kidney Infections,Legal Intervention,Malaria,Malignant Neoplasm or Cancer,Medical & Surgical Care Complications,Meningitis,Meningococcal Infection,"Nephritis, Nephrotic Syndrome, Nephrosis",Nutritional Deficiencies,Other Non-rankable Cause of Death,Parkinsons Disease,Peptic Ulcer,Perinatal Period Conditions,Pneumoconiosis & Chemical Effects,Pneumonitis Due To Solids & Liquids,"Pregnancy, Childbirth and the Puerperium",Salmonella Infections,Septicemia,Syphilis,Tuberculosis,Unintentional Injury,Viral Hepatitis
FL,12005002500,0,11,0,1,0,0,11,0,6,11,1,4,5,0,46,0,1,0,13,4,0,0,0,45,1,0,0,1,0,25,3,1,0,0,6,0,0,6,0,0,10,0
FL,12005002601,0,6,0,1,0,0,3,0,5,16,0,2,0,0,32,0,0,0,7,4,0,0,0,16,0,0,0,1,0,18,1,0,0,0,1,0,0,0,0,1,11,0
FL,12005002603,0,2,0,2,0,0,0,0,1,7,1,4,0,0,24,0,1,0,4,3,0,0,0,28,0,0,0,2,1,17,1,0,1,0,0,0,0,0,0,0,7,6
FL,12005002604,0,12,0,1,0,0,14,0,17,36,0,18,2,0,62,0,1,0,13,5,0,0,0,59,0,0,0,5,0,34,0,0,0,0,3,0,0,5,0,0,19,5
FL,12005002605,0,1,0,0,0,0,2,0,2,6,0,6,0,0,14,0,0,0,2,1,0,0,0,14,0,0,0,1,1,11,0,1,0,0,0,0,0,1,0,0,8,0
FL,12005002606,0,2,0,0,0,0,5,0,1,5,1,2,3,0,26,0,0,0,2,4,0,0,0,14,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,7,0
FL,12005002607,0,5,0,0,0,0,0,0,0,5,0,6,1,0,12,0,1,0,5,1,0,0,0,20,0,0,0,0,0,14,1,0,0,0,0,0,0,1,0,0,4,1
FL,12005002608,0,5,0,0,0,0,8,0,4,8,0,4,5,0,34,0,0,1,3,1,0,0,0,37,0,0,0,2,0,30,2,0,0,1,0,0,0,0,0,0,8,1
FL,12005002701,0,8,0,1,0,0,8,1,6,18,0,6,4,0,46,1,0,0,10,5,0,0,0,41,0,0,0,2,0,35,0,1,1,0,1,0,0,5,0,0,13,2
FL,12005002702,0,7,0,3,0,0,3,1,5,10,0,5,0,0,32,0,1,0,4,5,0,0,0,47,0,0,0,2,0,20,1,0,1,0,2,0,0,0,0,0,11,2
FL,12005002703,0,9,0,1,0,0,6,0,4,10,1,9,0,0,35,0,1,0,7,6,0,0,0,32,0,0,0,3,0,25,1,0,2,0,0,0,0,0,0,0,10,0
FL,12005002704,0,5,0,0,0,0,7,0,13,21,0,7,3,0,44,0,0,0,12,1,0,0,0,57,0,0,0,2,1,37,1,0,1,0,0,0,0,3,0,0,18,0
FL,12005002705,0,11,0,0,0,0,5,0,7,7,0,4,2,0,27,0,0,0,4,3,0,0,0,30,1,0,0,0,0,34,0,0,0,0,2,0,0,1,0,0,8,2
FL,12007000100,0,6,1,3,1,1,17,1,10,41,2,15,5,0,92,0,3,0,0,5,0,0,0,69,0,0,0,8,2,114,3,1,4,1,1,0,0,2,0,0,18,3
FL,12007000200,0,5,0,0,0,1,12,0,12,23,3,6,6,0,83,0,3,1,2,4,0,12,0,85,1,0,0,4,0,70,3,1,0,1,1,1,0,2,0,1,24,4
FL,12007000300,0,15,2,2,0,1,20,1,6,26,2,10,9,0,78,0,1,0,2,2,1,0,0,122,1,0,0,10,0,82,7,0,2,0,0,0,0,5,0,0,36,4
FL,12007000400,0,2,0,0,0,0,13,0,3,30,2,10,4,0,42,0,0,0,1,1,0,0,0,48,0,0,0,3,0,36,0,0,1,0,0,0,0,1,0,0,13,1
FL,12009060101,0,1,0,1,0,1,13,0,4,23,0,4,3,0,75,0,1,0,2,6,0,0,0,72,0,0,0,5,0,33,1,0,0,0,0,1,0,3,0,0,10,2
FL,12009060102,0,9,0,1,0,1,18,0,9,25,0,4,1,0,56,0,1,0,1,1,0,0,0,66,0,0,0,2,0,40,1,2,0,0,0,0,0,4,0,0,14,1
FL,12009060200,0,10,0,1,0,0,21,0,2,37,1,8,7,0,82,0,2,0,2,4,0,0,0,82,1,0,0,5,0,55,7,0,0,0,0,0,0,4,0,0,11,1
FL,12009060300,0,5,1,1,0,2,19,0,6,32,3,10,3,0,62,0,1,0,3,1,0,0,0,79,1,0,0,2,0,37,1,0,2,0,0,0,0,3,0,0,20,4
