Tract,Aortic.Aneurysm...Dissection,Cerebrovascular.Diseases,Diabetes.Mellitus,Essen.Hypertension...Hypertensive.Renal.Dis,Heart.Diseases,In.Situ..Benign..Uncertain.and.Unknown.Behavior.Neoplasms,Malignant.Neoplasm.or.Cancer,Nephritis..Nephrotic.Syndrome..Nephrosis,Atherosclerosis
12011042000,0,41.57,3.2,9.59,108.73,9.59,150.3,3.2,3.2
12011042100,4.57,50.27,13.71,4.57,118.83,4.57,201.1,4.57,0
12011042200,3.75,71.16,0,3.75,149.81,0,209.74,7.49,3.75
12011042301,0,62.77,2.85,2.85,159.77,8.56,125.53,11.41,2.85
12011042302,0,62.65,39.15,23.49,313.23,15.66,164.45,31.32,7.83
12011042400,0,7.23,7.23,7.23,72.31,7.23,72.31,7.23,0
12011042500,1.49,13.38,2.97,4.46,38.67,0,37.18,5.95,0
12011042600,0,15.25,8.47,0,69.47,1.69,96.58,3.39,1.69
12011042700,0,33.29,15.66,7.83,95.95,0,111.61,13.71,0
12011042800,2.54,29.17,10.15,1.27,74.83,0,79.9,5.07,1.27
12011042900,3.12,16.66,10.42,3.12,60.41,2.08,48.95,13.54,2.08
12011043001,0,41.04,0,0,61.56,0,116.28,0,0
12011043002,2.54,15.25,11.44,5.08,57.19,0,63.55,3.81,1.27
12011043100,0,25.35,12.67,4.22,97.17,4.22,90.83,6.34,0
12011043301,0,25.39,5.86,0,76.17,0,101.56,3.91,1.95
12011043302,0,17.54,4.39,4.39,70.18,0,100.88,0,0
12011050100,0,21.28,6.38,2.13,72.34,2.13,85.11,8.51,0
12011050204,0,13.79,8.62,3.45,75.85,1.72,62.06,6.9,0
12011050205,0,50.76,10.88,3.63,224.8,0,105.15,21.75,0
12011050206,0,79.64,11.38,5.69,278.73,2.84,102.39,17.06,0
12011050207,0,11.19,19.57,4.19,64.32,1.4,82.49,5.59,1.4
12011050208,2.07,76.72,8.29,2.07,230.15,4.15,62.2,10.37,2.07
12011050301,1.06,15.85,3.17,6.34,60.22,0,60.22,5.28,0
12011050306,0,19.25,4.81,2.41,60.15,2.41,64.97,9.62,0
12011050307,0,38.75,16.61,4.15,99.64,2.77,83.03,13.84,4.15
12011050308,0,33.67,20.2,3.37,97.64,6.73,57.24,16.84,0
12011050309,0,9.15,4.58,0,41.19,0,36.61,9.15,0
12011050310,0,69.52,29.54,8.69,182.48,3.48,173.79,22.59,3.48
12011050311,6.03,72.31,21.09,0,147.63,0,102.44,9.04,0
12011050312,4.69,93.72,23.43,23.43,187.44,9.37,168.7,0,0
12011050401,0,9.45,4.72,2.36,42.5,2.36,30.7,4.72,0
