GEOID,Diabetes.Mellitus,College.Educated
12015010404,10.47,44.90
12015010501,18.50,13.40
12015010502,11.77,22.30
12015020101,9.61,23.30
12015020103,13.07,23.20
12015020104,18.92,23.50
12015020201,15.75,19.50
12015020202,13.74,13.50
12015020301,25.58,26.20
12015020302,36.23,16.20
12015020303,24.89,13.10
12015020400,13.70,21.70
12015020501,19.52,33.70
12015020502,11.98,46.50
12015020601,32.69,17.50
12015020602,18.00,10.00
12015020700,37.21,10.70
12015020800,20.99,7.80
12015020900,13.88,21.70
12015021001,5.90,18.00
12015021002,0.00,24.10
12015021003,48.77,27.20
12015030100,20.40,14.70
12015030200,15.61,16.50
12015030301,15.90,30.50
12015030302,22.25,19.90
12015030401,4.59,27.10
12015030402,9.84,33.60
12015030501,2.68,29.80
12015030502,14.37,20.40
12015030503,17.29,25.80
12017450101,40.63,20.80
12017450102,43.75,12.50
12017450201,15.28,5.40
12017450202,44.09,9.40
12017450302,23.30,12.60
12017450303,26.83,14.50
12017450304,15.38,30.40
12017450400,15.14,15.60
12017450500,21.77,32.50
12017450601,31.51,12.60
12017450602,18.51,17.50
12017450701,19.56,38.80
12017450702,13.00,14.60
12017450800,26.96,11.20
12017450901,40.03,14.80
12017450902,41.15,17.40
12017451000,31.82,20.10
12017451101,8.47,12.90
12017451102,28.74,10.70
12017451200,28.21,16.10
12017451300,22.71,12.30
12017451400,27.88,9.60
12017451501,31.56,10.30
12017451502,22.21,3.30
12017451601,25.25,30.30
12017451602,25.95,25.40
12017451700,37.81,15.50
12019030102,11.20,10.20
12019030103,16.80,8.20
12019030104,14.58,6.70
12019030201,4.35,25.60
12019030202,10.19,18.10
12019030203,6.13,28.00
12019030301,8.09,22.60
12019030303,12.93,20.90
12019030304,18.74,19.10
12019030400,8.93,16.40
12019030500,31.82,21.20
12019030600,59.12,25.50
12019030701,4.99,32.40
12019030702,4.68,37.20
12019030703,0.81,46.80
12019030801,13.62,30.70
12019030802,7.55,20.20
12019030902,12.99,16.90
12019030903,11.83,14.70
12019030904,16.39,28.20
12019031101,14.68,19.80
12019031104,24.80,18.70
12019031105,23.74,9.90
12019031106,25.03,11.90
12019031107,0.00,23.90
12019031108,14.08,21.80
12019031200,14.72,24.10
12019031300,9.62,24.90
12019031400,15.76,10.10
12019031500,13.86,13.00
12021000101,14.71,62.20
12021000102,7.40,59.50
12021000200,4.46,42.40
12021000301,6.17,59.40
12021000302,11.84,53.00
12021000401,7.60,58.90
12021000402,10.50,63.80
12021000500,11.72,70.70
12021000600,7.58,45.00
12021000700,30.14,22.30
12021010102,9.73,48.10
12021010105,17.74,45.20
12021010106,18.45,50.80
12021010107,13.93,36.40
12021010108,13.92,39.90
12021010109,4.49,32.20
12021010110,4.50,31.60
12021010205,0.00,55.00
12021010208,6.56,67.80
12021010209,4.65,56.40
12021010210,11.18,48.60
12021010211,0.00,38.30
12021010212,13.23,52.40
12021010213,9.60,53.40
12021010215,18.10,70.70
12021010300,6.92,30.90
12021010401,8.60,38.80
12021010405,7.20,42.50
12021010408,6.41,24.50
12021010410,6.98,13.30
12021010411,2.42,13.30
12021010412,6.53,30.80
12021010413,7.57,23.10
12021010414,12.02,23.70
12021010415,5.96,34.70
12021010416,1.58,46.70
12021010417,9.67,41.20
12021010418,0.00,53.90
12021010419,9.97,8.90
12021010420,5.30,12.80
12021010505,4.17,28.30
