HUC_12,Thermo_Plants,FWWGYR,FWCGYR,TWW_MGAL,TWC_MGAL
020402020601,9.0,1.0202299e+11,3593387040.0,279.51504,9.844896
180701050208,34.0,1.01657756e+11,3913767400.0,278.514401,10.72265
180400030907,8.0,1.01553744e+11,3757855160.0,278.229437,10.295494
071100090402,2.0,1.01450257e+11,3351498910.0,277.94591,9.182189
031601130806,11.0,1.01369367e+11,3542922430.0,277.724294,9.706637
070700021803,6.0,1.0077304e+11,3450357260.0,276.090521,9.453034
020700070102,4.0,1.00025037e+11,3701287460.0,274.041197,10.140514
030102040602,4.0,1.00025037e+11,3701287460.0,274.041197,10.140514
051201111601,2.0,99660067200.0,3292358400.0,273.04128,9.02016
070101010909,5.0,99040095700.0,3270335760.0,271.342728,8.959824
080703000207,11.0,98618625800.0,3649245180.0,270.188016,9.997932
070900050607,12.0,98020731300.0,3627120920.0,268.549949,9.937318
111003030201,8.0,97402454000.0,3604242430.0,266.856038,9.874637
140600090105,2.0,95719803400.0,3162188300.0,262.246037,8.66353
030902060803,13.0,95597217700.0,3444241910.0,261.910186,9.436279
160501020607,27.0,95293356100.0,3529969020.0,261.077688,9.671148
180600150301,6.0,94983698900.0,3514739760.0,260.229312,9.629424
071401021004,6.0,94565934500.0,3019712160.0,259.084752,8.273184
080802010305,6.0,94385804400.0,3492615500.0,258.591245,9.56881
020301050405,13.0,94329171800.0,3511691280.0,258.436087,9.621072
041401010603,1.0,94126200000.0,2780756880.0,257.88,7.618512
160202010803,6.0,94100445600.0,3482056200.0,257.80944,9.53988
150100150704,19.0,93461785500.0,3458423470.0,256.059686,9.475133
111401030302,6.0,93081307200.0,3444344400.0,255.01728,9.43656
120602020805,1.0,93016062700.0,3072867840.0,254.838528,8.418816
071402030304,2.0,92776140300.0,3064941790.0,254.181206,8.397101
121102080200,6.0,91878723900.0,3399844480.0,251.722531,9.314642
101900130409,11.0,91540347900.0,3185107970.0,250.795474,8.726323
040900040407,11.0,91397109600.0,3653690880.0,250.40304,10.010112
010600031001,8.0,90300848200.0,2395443900.0,247.399584,6.56286
031001010401,13.0,90295662200.0,3341265480.0,247.385376,9.154152
080601000103,2.0,90200542700.0,3337745710.0,247.124774,9.144509
150701040508,6.0,90030686300.0,3331460410.0,246.659414,9.127289
020200061101,6.0,89888006900.0,3326180760.0,246.268512,9.112824
010900010601,13.0,89793561800.0,3040698490.0,246.009758,8.330681
170800030207,22.0,89636619400.0,3316878520.0,245.579779,9.087338
120301020404,3.0,89330877900.0,3305564980.0,244.742131,9.056342
170701031306,7.0,89045519100.0,3295005670.0,243.960326,9.027413
031502010504,6.0,88597098200.0,3278412480.0,242.731776,8.981952
031501050203,4.0,87940781500.0,2905201440.0,240.933648,7.959456
060102070403,1.0,87663948000.0,2896056000.0,240.1752,7.9344
030701011003,10.0,87591548400.0,3241203500.0,239.976845,8.88001
050901030105,6.0,87523605800.0,3238689380.0,239.790701,8.873122
071200040805,13.0,87510017300.0,3238186560.0,239.753472,8.871744
120301010406,6.0,86966476800.0,3218073600.0,238.26432,8.81664
050800020706,14.0,85865807300.0,3177344860.0,235.248787,8.705054
071200040810,8.0,85335855400.0,3157734720.0,233.796864,8.651328
101800070905,4.0,85098624000.0,2811308260.0,233.146915,7.702214
020403010407,1.0,84315000000.0,2490906000.0,231.0,6.8244
050902030304,6.0,83705233900.0,3097395840.0,229.329408,8.486016
020801030601,7.0,82808392100.0,3064209460.0,226.872307,8.395094
120903010205,6.0,82754038100.0,3062198160.0,226.723392,8.389584
110701050303,6.0,82482267800.0,3052141680.0,225.978816,8.362032
180300121203,8.0,82322783300.0,3121656660.0,225.541872,8.552484
040400030601,6.0,82128966500.0,3039068260.0,225.010867,8.326214
150601060306,10.0,82033846900.0,3035548490.0,224.750266,8.316571
011000051302,11.0,81150029500.0,1941548880.0,222.328848,5.319312
031501010504,7.0,81009068000.0,3018367500.0,221.942652,8.2695
030401020504,6.0,80987531500.0,2996831040.0,221.883648,8.210496
120401040302,17.0,80844852100.0,2991551390.0,221.492746,8.196031
101302011102,2.0,80263265200.0,2651567900.0,219.899357,7.26457
040500020103,6.0,79900450600.0,2956605120.0,218.905344,8.100288
031001010101,12.0,79178660700.0,2862385190.0,216.927838,7.842151
020700080403,7.0,79076942200.0,2782345940.0,216.649157,7.622866
180701060701,32.0,79026938400.0,3075332900.0,216.51216,8.42557
020402020507,13.0,78688968800.0,2889512280.0,215.586216,7.916472
101202010602,7.0,78639415300.0,2619488780.0,215.450453,7.176682
020401060811,9.0,78415293300.0,2910969900.0,214.83642,7.97526
030101020601,2.0,78251608300.0,2585111040.0,214.387968,7.082496
101301010104,4.0,78175648600.0,2580674980.0,214.179859,7.070342
050702040402,5.0,78133944000.0,2891238000.0,214.0656,7.9212
101900050709,6.0,78032030200.0,2887466820.0,213.786384,7.910868
150701040708,11.0,77980029000.0,3371978920.0,213.643915,9.238298
180702030804,72.0,77959330000.0,3002794850.0,213.587206,8.226835
031001010402,6.0,77887467400.0,2762648210.0,213.390322,7.568899
101900030304,10.0,77855689600.0,2766938860.0,213.303259,7.580654
041401021004,8.0,77692317400.0,2874896220.0,212.855664,7.876428
150200080603,3.0,77504157800.0,2560418350.0,212.340158,7.014845
