NativeAquaticAtRisk,NativeAqRarityIndexNorm,NativeVulnIndexAquatic,TotalAquaticSpeciesRich,HUC_12
4,0.0,0.0769230769231,72,010300031301
4,0.0,0.0769230769231,72,010300031302
4,0.0,0.0769230769231,72,010300031401
4,0.0,0.0769230769231,72,010300031402
4,0.0,0.0769230769231,72,010300031403
4,0.0,0.0769230769231,72,010300031404
4,0.0,0.0769230769231,72,010300031405
4,0.0,0.0769230769231,72,010300031501
4,0.0,0.0769230769231,72,010300031502
4,0.0,0.0769230769231,72,010300031503
4,0.0,0.0769230769231,72,010300031504
4,0.0,0.0769230769231,72,010300031505
4,0.0,0.0769230769231,72,010300031506
4,0.0,0.0769230769231,69,010300031507
4,0.0,0.0769230769231,72,010300031601
4,0.0,0.0769230769231,72,010300031602
4,0.0,0.0769230769231,72,010300031603
4,0.0,0.0769230769231,72,010300031604
4,0.0,0.0769230769231,72,010300031605
4,0.0,0.0769230769231,72,010300031606
4,0.0,0.0769230769231,72,010300031701
4,0.0,0.0769230769231,72,010300031702
4,0.0,0.0769230769231,73,010300031801
4,0.0,0.0769230769231,73,010300031802
4,0.0,0.0769230769231,73,010300031803
4,0.0,0.0769230769231,72,010300031804
4,0.0,0.0769230769231,73,010300031805
4,0.0,0.0769230769231,73,010300031806
4,0.0,0.0769230769231,73,010300031901
4,0.0,0.0769230769231,73,010300031902
4,0.0,0.0769230769231,72,010300031903
4,0.0,0.0769230769231,72,010300031904
4,0.0,0.0769230769231,70,010300032001
4,0.0,0.0769230769231,70,010300032002
4,0.0,0.0769230769231,70,010300032003
4,0.0,0.0769230769231,70,010300032004
4,0.0,0.0769230769231,70,010300032005
4,0.0,0.0769230769231,69,010300032101
4,0.0,0.0769230769231,69,010300032102
4,0.0,0.0769230769231,69,010300032103
4,0.0,0.0769230769231,69,010300032104
4,0.0,0.0769230769231,69,010300032105
4,0.0,0.0769230769231,69,010300032106
4,0.0,0.0769230769231,72,010300032201
4,0.0,0.0769230769231,69,010300032202
4,0.0,0.0769230769231,69,010300032203
4,0.0,0.0769230769231,69,010300032204
4,0.0,0.0769230769231,69,010300032205
