HUC_12,PAGHYD80
010400020401,0.310000028416
010400020402,5.53849188154e-09
010400020403,1.21799959576e-09
010400020404,0.329999996181
010400020405,0.439999991412
010400020406,0.629999993817
010400020501,0.139999997478
010400020502,0.569999994427
010400020503,0.729999987061
010400020504,1.26000000077
010400020505,0.460000049857
010400020601,0.400000007523
010400020602,0.90000003158
010400020603,0.350000017764
010400020604,0.13000005998
010400020605,1.87999994523
010400020606,2.11999992184
010400020701,0.889999965118
010400020702,0.360000030737
010400020703,0.77000001201
010400020704,1.91999999285
010400020801,0.820000140395
010400020802,0.680000004089
010400020803,2.49999999195
010400020901,0.190000063455
010400020902,0.679999983701
010400020903,0.349999986066
010400020904,0.340000013528
010400020905,0.179999999864
010400020906,0.230000093345
010400020907,0.410000004018
010400020908,1.25999999118
010400020909,1.00000000467
010400020910,1.62999998283
010400021001,3.88999987795
010400021002,5.50999972776
010400021003,2.97999999043
010400021004,2.2800000881
010400021005,1.97000007639
010400021006,2.81999990325
010400021007,1.00000008802
010500010101,0.260144123811
010500010102,0.181582303131
010500010207,0.109999996844
010500010301,0.100016098036
010500010302,0.0299999998922
010500010303,0.0300510579452
010500010304,0.0276105923635
010500010305,0.00061661070414
010500010306,0.010238336692
010500010307,2.05533718234e-09
010500010401,0.0118954871345
010500010402,0.0600111440729
010500010403,0.0200467743916
010500010404,0.38999999182
010500010501,0.0608000949364
010500010502,0.0302075189243
010500010503,0.179983265136
010500010504,0.0600915550831
010500010505,0.0500000077698
010500010506,0.0200000210505
010500010601,0.150503255696
010500010602,0.0601331733234
010500010603,0.140135644568
010500010604,0.0557262874155
010500010605,0.140000028728
010500010606,0.190239142799
010500010701,0.060000002611
010500010702,0.109999999277
010500010705,0.0100000201985
010500010706,0.199999989401
010500010707,0.0200000008518
010500010708,0.0899999974272
010500010801,0.22017373416
010500010802,0.0500000109499
010500010804,0.26994070369
010500010806,0.65989364948
010500010809,0.28999998813
010500010810,0.040072918703
010500020101,0.329999981694
010500020102,0.379999983918
010500020103,0.100000070814
010500020104,0.239999010351
010500020201,0.0300000840487
010500020202,0.309999950454
010500020203,0.43999999481
010500020204,0.500000029434
010500020205,0.869999838288
010500020301,1.11999994351
010500020302,0.259999995772
010500020401,0.080000034156
010500020402,2.0046080996e-07
010500020403,0.0200000447544
010500020501,0.159999703194
010500020502,0.180000015818
010500020503,0.219999988912
010500020601,1.05999994614
010500020602,0.490000016763
010500020603,2.37999915998
010500020604,0.650000030876
