HUC_12,AWDBYHUC,AWD_MGAL
010700020105,0,0.0
010700020106,0,0.0
010700020107,0,0.0
010700020108,0,0.0
010700020109,0,0.0
010700020110,0,0.0
010700020201,0,0.0
010700020202,0,0.0
010700030101,0,0.0
010700030102,0,0.0
010700030103,0,0.0
010700030104,828,0.000828
010700030105,4140,0.00414
010700030106,0,0.0
010700030107,0,0.0
010700030108,92,9.2e-05
010700030201,0,0.0
010700030202,0,0.0
010700030203,0,0.0
010700030204,0,0.0
010700030301,0,0.0
010700030302,0,0.0
010700030303,273,0.000273
010700030401,0,0.0
010700030402,0,0.0
010700030403,0,0.0
010700030404,0,0.0
010700030501,0,0.0
010700030502,0,0.0
010700030503,0,0.0
010700030504,0,0.0
010700030601,273,0.000273
010700030602,0,0.0
010700030603,0,0.0
010700040101,0,0.0
010700040102,120,0.00012
010700040103,900,0.0009
010700040201,0,0.0
010700040202,0,0.0
010700040203,0,0.0
010700040204,0,0.0
010700040205,2704,0.002704
010700040301,3604,0.003604
010700040302,208,0.000208
010700040401,832,0.000832
010700040402,14040,0.01404
010700050101,5200,0.0052
010700050102,9152,0.009152
010700050103,4888,0.004888
010700050104,0,0.0
010700050201,0,0.0
010700050202,0,0.0
010700050203,2496,0.002496
010700050204,832,0.000832
010700050205,0,0.0
010700050206,1560,0.00156
010700060101,1729,0.001729
010700060102,8827,0.008827
010700060201,273,0.000273
010700060202,0,0.0
010700060301,273,0.000273
010700060302,19474,0.019474
010700060401,0,0.0
010700060402,0,0.0
010700060501,9369,0.009369
010700060502,0,0.0
010700060503,273,0.000273
010700060601,728,0.000728
010700060602,0,0.0
010700060603,0,0.0
010700060604,0,0.0
010700060605,0,0.0
010700060606,0,0.0
010700060607,0,0.0
010700060701,0,0.0
010700060702,90,9e-05
010700060703,0,0.0
010700060801,0,0.0
010700060802,3731,0.003731
010700060803,0,0.0
