HUC_12,Acres_Unpo
010801060202,0.0
010801060203,0.0
010801060204,0.0
010801060205,0.0
010801060206,0.0
010801060207,0.0
010801060301,0.0
010801060302,0.0
010801060303,0.0
010801060304,0.0
010801060305,0.0
010801060401,0.0
010801060402,0.0
010801060403,0.0
010801060404,0.0
010801060405,0.0
010801060406,0.0
010801060407,0.0
010801060501,0.0
010801060502,0.0
010801060503,0.0
010801060504,0.0
010801060505,0.0
010801060601,0.0
010801060602,0.0
010801060603,0.0
010801060701,0.0
010801060702,0.0
010801060703,0.0
010801070101,0.0
010801070102,0.0
010801070201,0.0
010801070202,0.0
010801070203,0.0
010801070301,0.0
010801070302,0.0
010801070303,0.0
010801070304,0.0
010801070305,0.0
010801070306,0.0
010801070307,0.0
010801070401,0.0
010801070402,0.0
010801070403,0.0
010801070404,0.0
010801070405,0.0
010801070406,0.0
010801070501,0.0
010801070502,0.0
010801070503,0.0
010801070504,0.0
010801070505,0.0
010801070506,0.0
010801070507,0.0
010802010101,0.0
010802010102,0.0
010802010103,0.0
010802010104,0.0
010802010201,0.0
010802010202,0.0
010802010301,0.0
010802010302,0.0
010802010303,0.0
010802010401,0.0
010802010402,0.0
010802010403,0.0
010802010501,0.0
010802010502,0.0
010802010503,0.0
010802010601,0.0
010802010602,0.0
010802010603,0.0
010802010604,0.0
010802010605,0.0
010802010606,0.0
010802010607,0.0
010802010608,0.0
010802010609,0.0
010802010610,0.0
010802010701,0.0
010802010702,0.0
010802020101,0.0
010802020102,0.0
010802020103,0.0
010802020201,0.0
010802020202,0.0
010802020203,0.0
010802020204,0.0
010802020205,0.0
010802020206,0.0
010802020207,0.0
010802030101,0.0
010802030102,0.0
010802030103,0.0
010802030104,0.0
010802030105,0.0
010802030201,0.0
010802030202,0.0
010802030203,0.0
010802030204,0.0
010802030205,0.0
010802030301,0.0
010802030302,0.0
010802030401,0.0
010802030402,0.0
010802030501,0.0
010802030502,0.0
010802040101,0.0
010802040102,0.0
010802040103,0.0
010802040104,0.0
010802040105,0.0
010802040106,0.0
010802040201,0.0
010802040202,0.0
010802040203,0.0
010802040204,0.0
010802040205,0.0
010802040206,0.0
010802040207,0.0
010802040301,0.0
010802040302,0.0
010802040303,0.0
010802040304,0.0
010802040305,0.0
010802040306,0.0
010802040307,0.0
010802040401,0.0
010802040402,0.0
010802050101,0.0
010802050102,0.0
010802050103,0.0
010802050104,0.0
010802050105,0.0
010802050201,0.0
010802050202,0.0
