HUC_12,Terrestrial_Acres,Rare_Acres,Protected_Rare_Acres,Percent_of_HUC_Rare,Percent_Rare_Area_Protected
010300010603,28381,0.0,None,0.0,None
010300010604,12084,0.0,None,0.0,None
010300010605,12276,0.0,None,0.0,None
010300010606,9185,0.0,None,0.0,None
010300010607,35494,0.0,None,0.0,None
010300010608,12173,0.0,None,0.0,None
010300010609,29231,36.917396364,0.0,0.126295358913,0.0
010300010610,17293,0.0,None,0.0,None
010300020101,21044,65.383822476,0.0,0.310700543984,0.0
010300020102,17927,101.634036978,0.0,0.566932766096,0.0
010300020103,14302,0.0,None,0.0,None
010300020104,32817,139.218615204,0.0,0.424227123759,0.0
010300020105,14406,0.0,None,0.0,None
010300020106,24889,0.0,None,0.0,None
010300020201,9538,22.017001446,0.0,0.230834571671,0.0
010300020202,29150,203.045680002,0.0,0.696554648377,0.0
010300020203,21810,559.098400356,0.0,2.56349564583,0.0
010300020204,31502,92.515884864,0.0,0.293682575278,0.0
010300020301,21124,327.586294242,0.0,1.55077776104,0.0
010300020302,18361,0.0,None,0.0,None
010300020303,28686,174.801647844,0.0,0.609362224932,0.0
010300020304,24178,76.503520176,0.0,0.316417901299,0.0
010300020401,14256,0.0,None,0.0,None
010300020402,18210,18.236304228,0.0,0.100144449357,0.0
010300020403,28358,12.009273516,0.0,0.0423488028634,0.0
010300020404,17183,0.0,None,0.0,None
010300020405,20655,0.0,None,0.0,None
010300020406,22277,0.0,None,0.0,None
010300020501,12362,0.0,None,0.0,None
010300020502,21237,0.0,None,0.0,None
010300020503,10307,0.0,None,0.0,None
010300020504,20211,93.627854634,0.0,0.46325196494,0.0
010300020505,15845,54.708912684,0.0,0.345275561275,0.0
010300020506,22778,0.0,None,0.0,None
010300030101,19720,0.0,None,0.0,None
010300030102,16665,0.0,None,0.0,None
010300030103,10360,0.0,None,0.0,None
010300030104,10203,0.0,None,0.0,None
010300030105,11920,0.0,None,0.0,None
010300030106,23818,0.0,None,0.0,None
010300030201,10763,0.0,None,0.0,None
010300030202,18289,0.0,None,0.0,None
010300030203,28163,0.0,None,0.0,None
010300030301,14999,0.0,None,0.0,None
010300030302,20635,0.0,None,0.0,None
010300030303,12194,0.0,None,0.0,None
010300030304,21699,0.0,None,0.0,None
010300030401,22964,883.571179242,0.0,3.8476362099,0.0
010300030402,31511,30.690365652,0.0,0.0973957210244,0.0
010300030501,16185,332.256567276,98.742915576,2.05286726769,29.718875502
010300030502,8433,0.0,None,0.0,None
010300030503,25070,12.23166747,0.0,0.0487900577184,0.0
010300030601,21160,0.0,None,0.0,None
010300030602,19644,0.0,None,0.0,None
010300030701,20755,0.0,None,0.0,None
010300030702,20996,0.0,None,0.0,None
010300030703,22635,0.0,None,0.0,None
010300030801,9803,0.0,None,0.0,None
010300030802,12937,0.0,None,0.0,None
010300030803,10180,0.0,None,0.0,None
010300030804,9423,0.0,None,0.0,None
010300030901,13491,100.744461162,0.0,0.746753103269,0.0
010300030902,23594,0.0,None,0.0,None
010300030903,37956,332.034173322,61.825519212,0.874787051644,18.6202277294
010300030904,15069,0.0,None,0.0,None
010300030905,27048,0.0,None,0.0,None
010300031001,23825,0.0,None,0.0,None
010300031002,12358,0.0,None,0.0,None
010300031003,21162,0.0,None,0.0,None
010300031004,28275,0.0,None,0.0,None
010300031101,16720,0.0,None,0.0,None
010300031102,24651,0.0,None,0.0,None
010300031103,26758,0.0,None,0.0,None
010300031201,13167,0.0,None,0.0,None
010300031202,11639,0.0,None,0.0,None
010300031203,7955,0.0,None,0.0,None
010300031204,24278,0.0,None,0.0,None
010300031205,9344,0.0,None,0.0,None
010300031206,39144,0.0,None,0.0,None
010300031301,15884,0.0,None,0.0,None
010300031302,33712,0.0,None,0.0,None
010300031401,17190,0.0,None,0.0,None
010300031402,15352,0.0,None,0.0,None
010300031403,10026,0.0,None,0.0,None
010300031404,30877,0.0,None,0.0,None
010300031405,15952,0.0,None,0.0,None
010300031501,11651,0.0,None,0.0,None
010300031502,16845,0.0,None,0.0,None
010300031503,13892,0.0,None,0.0,None
010300031504,8174,0.0,None,0.0,None
010300031505,14497,0.0,None,0.0,None
010300031506,33717,0.0,None,0.0,None
010300031507,17707,0.0,None,0.0,None
010300031601,15465,0.0,None,0.0,None
010300031602,35421,0.0,None,0.0,None
010300031603,13108,0.0,None,0.0,None
010300031604,23249,0.0,None,0.0,None
010300031605,32403,0.0,None,0.0,None
010300031606,19842,0.0,None,0.0,None
010300031701,24073,0.0,None,0.0,None
010300031702,30894,0.0,None,0.0,None
010300031801,6318,0.0,None,0.0,None
010300031802,13934,0.0,None,0.0,None
010300031803,9224,0.0,None,0.0,None
010300031804,13052,0.0,None,0.0,None
010300031805,17924,0.0,None,0.0,None
010300031806,13261,0.0,None,0.0,None
010300031901,37089,0.0,None,0.0,None
010300031902,10233,0.0,None,0.0,None
010300031903,14183,0.0,None,0.0,None
010300031904,27305,0.0,None,0.0,None
010300032001,13514,0.0,None,0.0,None
010300032002,19459,0.0,None,0.0,None
010300032003,24097,0.0,None,0.0,None
010300032004,21294,0.0,None,0.0,None
010300032005,9968,0.0,None,0.0,None
010300032101,43359,0.0,None,0.0,None
010300032102,13776,0.0,None,0.0,None
