HUC_12,Crop_P_removal_kg_ha
010300031901,0.405132777427
010300031902,0.487070196999
010300031903,0.681826353333
010300031904,0.531836548791
010300032001,0.354663688273
010300032002,0.507182229098
010300032003,1.24386315321
010300032004,1.15932497864
010300032005,0.431835483067
010300032101,0.824949312149
010300032102,1.49604031998
010300032103,0.399554705012
010300032104,0.62102574863
010300032105,0.817048546413
010300032106,0.946105240948
010300032201,0.391839916787
010300032202,0.207889359291
010300032203,0.255660318262
010300032204,0.475316349863
010300032205,0.956048862394
010300032301,0.573993553219
010300032302,0.348189616628
010300032303,0.667565774859
010300032304,1.74635298868
010300032305,0.382563849844
010300032306,0.228851788218
010300032307,1.02475284926
010300032308,0.464662041754
010300032309,0.732777598068
010300032401,0.772672210892
010300032402,0.401207851295
010300032403,0.675718908949
010300032404,1.03139626881
010300032405,0.740302122428
010300032406,0.0542924420289
010300032407,0.526939532966
010300032408,0.596063705762
010300032409,0.714056467777
010400010101,0.0
010400010102,0.0
010400010103,0.0
010400010104,0.0
010400010105,0.0
010400010106,0.0
010400010107,0.000312166223925
010400010108,0.0
010400010109,0.0
010400010110,0.0
010400010201,0.0
010400010202,0.0
010400010203,0.0
010400010301,0.0
010400010302,0.0
010400010303,0.0
010400010304,0.0
010400010305,0.0
010400010306,0.0
010400010401,0.0
010400010402,0.0
010400010403,0.0
010400010404,0.0
010400010405,0.0
010400010406,0.00361368801653
010400010501,0.0
010400010502,0.0454121688221
010400010601,0.0
010400010602,0.0
010400010603,0.00787905484406
010400010604,0.0827439483893
010400010605,0.0131481849163
010400010606,0.109212919519
010400010607,0.0155100089613
010400020101,0.00462617618321
010400020102,0.0129946704672
010400020103,0.0665479974974
010400020201,0.0
010400020202,0.117720974233
010400020203,0.127397908074
010400020204,0.106711346726
010400020205,0.0295499598423
010400020206,0.0242935901153
010400020207,0.377776818835
010400020301,0.00149315752629
010400020302,0.00281509247848
010400020303,0.0707914670237
010400020304,0.0748726455479
010400020305,0.231957246133
010400020401,0.106894746164
010400020402,0.0
010400020403,0.00176701644012
010400020404,0.100935608068
010400020405,0.112714139132
010400020406,0.222672552253
010400020501,0.0270758988837
010400020502,0.0776304455039
010400020503,0.140482881185
010400020504,0.203449159495
010400020505,0.239865022317
010400020601,0.309926847047
010400020602,0.595787106972
010400020603,0.273930025255
010400020604,0.270915634799
010400020605,0.716983184119
010400020606,0.906796855199
010400020701,0.2099625705
010400020702,0.180726331684
010400020703,0.545775056531
010400020704,1.0983092815
010400020801,0.545734381549
010400020802,0.500732687435
010400020803,0.61217402351
010400020901,0.0978873695594
010400020902,0.282940079955
010400020903,0.446702975511
010400020904,0.358810467806
010400020905,0.253151808392
010400020906,0.305896626199
010400020907,0.472064879331
010400020908,0.457605716597
010400020909,0.37400799452
010400020910,0.810398690597
010400021001,0.834732665881
010400021002,1.07990261735
010400021003,0.711927998896
010400021004,0.740420637578
010400021005,0.892614424774
010400021006,0.475479032366
010400021007,0.29865900087
